Order_ID,Order_Date,Region,Category,Product_Name,Sales,Profit
1001,2024-01-05,East,Technology,Laptop,50000,8000
1002,2024-01-07,West,Furniture,Chair,8000,1200
1003,2024-01-10,South,Office Supplies,Notebook,500,100
1004,2024-01-12,North,Technology,Smartphone,20000,4000
1005,2024-01-15,East,Furniture,Table,15000,2000
1006,2024-02-01,West,Technology,Tablet,12000,2500
1007,2024-02-03,South,Office Supplies,Pen,200,50
1008,2024-02-10,North,Furniture,Sofa,30000,5000
1009,2024-02-14,East,Technology,Monitor,7000,1500
1010,2024-02-18,West,Office Supplies,Printer,9000,1800
1011,2024-03-01,South,Technology,Laptop,55000,9000
1012,2024-03-05,North,Furniture,Chair,8500,1300
1013,2024-03-08,East,Office Supplies,Notebook,600,120
1014,2024-03-12,West,Technology,Smartphone,22000,4500
1015,2024-03-15,South,Furniture,Table,16000,2200
